"","NSE-EQ","NSE-F&O","NSE-CFX","BSE-EQ","BSE-F&O","NET TOTAL"
"PAY IN/ PAY OUT OBLIGATION","9500.00","","","","","9500.00"
"Taxable value of Supply (Brokerage)3","(0.01)","","","","","(0.01)"
"Exchange Transaction Charges","(0.26)","","","","","(0.26)"
"Clearing Charges","","","","","",""
"CGST (@9% of Brok, Trans & Clearing Charges)4","(0.00)","","","","",""
"SGST (@9% of Brok, Trans & Clearing Charges)4","(0.00)","","","","",""
"IGST (@18% of Brok, Trans & Clearing Charges)4","(0.05)","","","","","(0.05)"
"UTT4","","","","","",""
"Securities Transaction Tax","(10.00)","","","","","(10.0)"
"SEBI Turnover Fees","(0.01)","","","","","(0.01)"
"Stamp Duty","(1.00)","","","","","(1.00)"
"Net amount receivable by Client / (payable by Client)","9488.67","","","","","9488.67"
